Name,Description,Labels,List,Due Date,Members
HU 0.1.1 · Capturar un caso en la vereda sin señal,"Apartado 0.1 · Captura sin conexión

Como líder territorial, quiero registrar a una familia con el celular que ya tengo, sin conexión, para no perder el viaje hasta la vereda ni la jornada de trabajo.

Criterios de aceptacion:
- Formulario de cuatro pasos con guardado incremental: si se cierra la aplicación en el paso 3, al volver el registro sigue ahí
- Fotografías comprimidas en el dispositivo a unos 200 KB
- Coordenada por satélite, que no requiere internet
- Verificado en navegador real con la red apagada

Origen: FRENTES.md F1","FrontEnd,hecha",Hito 0 · Base construida,,
HU 0.2.1 · El esquema se crea completo,"Apartado 0.2 · Integridad del esquema

Como equipo, quiero que schema.sql se pueda ejecutar de principio a fin, para que exista la base sobre la que se construye todo lo demás.

Criterios de aceptacion:
- dias_sin_respuesta deja de ser columna generada sobre current_date, que PostgreSQL rechaza
- La mora se calcula al consultar, así que crece cada día que la entidad no responde
- 12 tablas, 5 vistas, 19 políticas y PostGIS, verificado

Origen: hallazgos-revision.md H14","BackEnd,defecto,hecha",Hito 0 · Base construida,,
HU 0.3.1 · Empezar a contribuir sin credenciales ni infraestructura,"Apartado 0.3 · Entorno de trabajo

Como voluntario que aporta dos horas por semana, quiero clonar, instalar y arrancar sin pedirle acceso a nadie, para que las dos horas se me vayan en aportar y no en preparar la máquina.

Criterios de aceptacion:
- npm start levanta la PWA completa en modo local, sin backend
- Quien trabaje formulario, listado, tablero o mapa no necesita Docker
- Quien trabaje contra la base levanta el entorno con un comando

Responsable: yonathangutierrez
Origen: entorno/README.md, ADR 004","Infra,hecha",Hito 0 · Base construida,,
HU 0.3.2 · Verificar el control de acceso en cada cambio,"Apartado 0.3 · Entorno de trabajo

Como equipo, quiero que las seis verificaciones de SEGURIDAD.md corran solas, para que dejen de depender de que alguien se acuerde de hacerlas a mano.

Criterios de aceptacion:
- Suite ejecutable contra el mismo esquema que va al servidor
- Falla al primer error y devuelve código distinto de cero
- Verificada en negativo: detecta la regresión que busca

Responsable: yonathangutierrez
Origen: entorno/pruebas/seguridad.sql, SEGURIDAD.md","Infra,BackEnd,hecha",Hito 0 · Base construida,,
HU 1.1.1 · Infraestructura reproducible desde código,"Apartado 1.1 · Plataforma base

Como responsable de plataforma, quiero levantar y destruir el entorno completo desde código, para que el sistema no quede irreproducible el día que quien lo montó no esté.

Nota:
PARCIAL. Cognito montado en AWS real desde entorno/aws/desplegar-cognito.sh, idempotente, con las variables generadas en entorno/generado/nube.env, que no se versiona. Alta de voluntarios con crear-voluntario.sh.

FALTA todo lo demas del despliegue: Dockerfile de la API, registro de imagenes, VPC con tres grupos de seguridad, RDS PRIVADA, cluster de ECS y balanceador. Son unas 3 a 4 horas con verificacion real.

DOS DECISIONES QUE NO SE DEBEN REABRIR A MITAD DE CAMINO: la API va en contenedor sobre Fargate y no en la maquina de nadie —se intento lo segundo por celeridad y se descarto porque obligaba a exponer la base a internet—; y la base no recibe trafico publico, su grupo de seguridad solo acepta al contenedor. Sesion del 15 de agosto de 2026.

Criterios de aceptacion:
- RDS PostgreSQL con PostGIS habilitado
- Bucket privado con los cuatro bloqueos de acceso público
- Cognito con refresh token largo: capturar no puede exigir sesión vigente
- Sin puerta de enlace NAT: se usan endpoints de VPC
- Se levanta y se destruye completo desde cero

Responsable: yonathangutierrez
Origen: ADR 002, ADR 004
Desbloquea: todo el hito 1",Infra,Hito 1 · Captura real,,
HU 1.1.2 · Desplegar sin llaves de larga vida,"Apartado 1.1 · Plataforma base

Como responsable de plataforma, quiero que el pipeline se autentique por identidad federada, para que no haya un secreto de nube guardado en el repositorio.

Criterios de aceptacion:
- Un rol por entorno, con confianza limitada al repositorio y la rama
- Ningún secreto de AWS en la configuración del repositorio
- Los devs no reciben consola de la nube; quien depure recibe lectura de registros

Responsable: yonathangutierrez
Origen: ADR 004",Infra,Hito 1 · Captura real,,
HU 1.1.3 · Cambiar el esquema sin coordinar con nadie,"Apartado 1.1 · Plataforma base

Como desarrollador, quiero proponer un cambio de esquema como archivo numerado en mi PR, para que el despliegue lo aplique solo y yo no tenga que tocar la base.

Criterios de aceptacion:
- Migraciones numeradas, aplicadas una sola vez y antes de que la versión nueva reciba tráfico
- Sólo aditivas: ninguna columna se elimina en la misma entrega en que deja de usarse
- Nunca se asume que todos los clientes están actualizados: un celular puede correr la versión de la semana pasada durante días
- Los catálogos NO son migraciones

Responsable: yonathangutierrez
Origen: ADR 004","Infra,BackEnd",Hito 1 · Captura real,,
HU 1.1.4 · Que no llegue una factura sorpresa,"Apartado 1.1 · Plataforma base

Como responsable del proyecto, quiero presupuesto con alerta desde el primer recurso, para que una infraestructura financiada por donación no se vuelva un problema de confianza.

Criterios de aceptacion:
- Alerta de presupuesto configurada antes del primer despliegue
- Sin puerta de enlace NAT, sin intermediario de conexiones, sin base sin servidor con mínimo de capacidad
- Costo mensual verificado dentro del rango del ADR 002

Responsable: yonathangutierrez
Origen: ADR 002",Infra,Hito 1 · Captura real,,
HU 1.2.1 · Contrato de la API antes de repartir el trabajo,"Apartado 1.2 · API de sincronización

Como equipo de backend, quiero un contrato escrito de rutas, formas y errores, para que diez personas puedan construir en paralelo sin colisionar.

Criterios de aceptacion:
- Documento OpenAPI versionado en el repositorio
- Cubre alta y actualización de caso, URL prefirmada de fotografía, consulta de casos propios y gestión de remisiones
- Los errores se clasifican en transporte, sesión y rechazo, según ADR 003
- Acepta cargas de clientes viejos: ningún campo nuevo es obligatorio

Responsable: yonathangutierrez
Origen: ADR 003, ADR 002
Desbloquea: casi todo el apartado 1.2 y la HU 1.3.4",BackEnd,Hito 1 · Captura real,,
HU 1.2.2 · Servicio que arranca igual en cualquier entorno,"Apartado 1.2 · API de sincronización

Como desarrollador, quiero un servicio que lea toda su configuración del entorno, para que la plataforma pueda cambiar de motor o de región sin que yo me entere.

Criterios de aceptacion:
- Los nombres de las variables son los mismos en local y en la nube; sólo cambian los valores
- Escucha en el puerto indicado y expone salud y disponibilidad
- Se construye con un comando estándar, sin argumentos especiales
- Corre contra el entorno local sin tocar la nube

Origen: ADR 002, ADR 004
Depende de: HU 1.2.1",BackEnd,Hito 1 · Captura real,,
